item_id,item_desc,quantity
9781472115560,"TAKE CARE, SON",1
9781472116062,MB VIETNAM WAR,3
9781472117465,BIZAR SCOTLAND,4
9781472119056,AGNES SOREL: M,1
9781472119254,BOOKSHOP BOOK,1
9781472121912,CITY IN DRKNSS,1
9781472125224,BETELNUTTREEMY,2
9781472127457,PUPPET SHOW,1
9781472127761,COLD BREATH,1
9781472127914,HALFWAY,2
9781472127969,WILDERNESS,1
9781472127983,LUCIFER FALLS,1
9781472128287,BLOTTOTWINKSIR,1
9781472128317,"BLOTTO, TWINKS",1
9781472130129,CLR JAMES,1
9781472130662,LAST BOAT FROM,1
9781472131263,HITTING AGAINS,1
9781472131539,UNDER GROUND,10
9781472131713,CAT AND CORPSE,1
9781472131768,MAN WHO VANISH,1
9781472131942,CURATOR,1
9781472132000,DEAD GROUND,1
9781472132024,MIMOSA TREE MY,2
9781472132628,FEMINISM FOR W,1
9781472132871,THAT WILL BE,1
9781472133144,DEATH ON THE T,1
9781472133182,BLOOD ON SIBER,1
9781472133298,EMPTY ROOM,1
9781472133793,DEATH OF A DIV,2
9781472133847,GUARDED BY DRA,1
9781472133922,BLOTTO  TWINKS,2
9781472134004,THEMES FOR G,6
9781472134011,THEME 4 GREAT,9
9781472134578,DAVID STIRLING,4
9781472134592,DAVID STIRLING,2
9781472134639,(R)EVOLUTION,2
9781472134783,DROWNING NOT W,9
9781472134813,NO JUSTICE,2
9781472134912,VALUE,1
9781472135698,REAL MEAL REVO,4
9781472136091,OVRCOM BRAIN I,1
9781472136138,OVERCOMING TRA,1
9781472136374,MERITRAN CKING,1
9781472136770,BH OF AMAZONS,3
9781472137050,GROW VEGETABLS,2
9781472137500,MNDFLNS PZZ BK,5
9781472137890,BLUEPRINT,2
9781472138583,OVERCOMING ALC,1
9781472138613,HELPING YOUR C,1
9781472138675,OVERCOMING SEX,1
9781472138729,HELP CHILD SLE,1
9781472139016,HOW TO COPE WH,1
9781472139047,GROWING UP WIL,1
9781472139207,FISH BOOK,3
9781472139726,MISMATCH,1
9781472139856,GEEKS GUIDE T,2
9781472140081,COPING GRIEF 2,1
9781472140289,BRIEFHISFLORNI,1
9781472140319,OVERCOMING DIS,1
9781472140777,CHURCHILLS CO,2
9781472140838,TALK,1
9781472141057,STRESSLESS,1
9781472141576,BAD WORDS,2
9781472141804,MAMMOTH BOOK O,1
9781472141859,THINKINABTBRDG,1
9781472142283,MAKE YOUR OWN,5
9781472142405,SECRET HISTORY,2
9781472142498,YOUNGER FOR LO,1
9781472142566,FASTEST SHOW O,1
9781472142689,WORLD PUZZLE C,1
9781472142931,REAL MEAL REVO,8
9781472143525,WHALE IN LIVIN,2
9781472143624,HOW TO RAISE A,1
9781472143723,REALLY WILD CY,1
9781472143846,HOW TO BE AN A,1
9781472143884,HOW TO LIVE TO,2
9781472144096,HELLINGEN,1
