series_code,series_desc,pallet_id,pallet_available_flag,item_id,item_desc,family_code,reporting_group_desc,publisher_desc,imprint_desc,us_price,can_price,pub_date,quantity,Extended Retail,Extended @ 3%
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781526301284,LETS CELEBRATE,23031002,BOOKPOINT,HACHETTE CHILDREN`S,WAYLAND,12.99,13.99,2018-05-15,1,13.99,0.42
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781526301581,NATURE DETECTI,23031002,BOOKPOINT,HACHETTE CHILDREN`S,WAYLAND,10.99,13.99,2022-03-01,1,13.99,0.42
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781526360175,BOYSGUIDEGRWUP,23031202,BOOKPOINT,HACHETTE CHILDREN`S,WREN & ROOK,11.99,12.99,2018-10-23,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781526360182,GIRLS GUIDE GU,23031202,BOOKPOINT,HACHETTE CHILDREN`S,WREN & ROOK,11.99,12.99,2018-10-23,2,25.98,0.78
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781526361066,BRONTES,23031203,BOOKPOINT,HACHETTE CHILDREN`S,WREN & ROOK,19.99,22.99,2022-03-15,1,22.99,0.69
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781526361868,YOU GOT THIS,23031202,BOOKPOINT,HACHETTE CHILDREN`S,WREN & ROOK,15.99,17.99,2022-04-05,1,17.99,0.54
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781526363893,YOU WILL BE OK,23031202,BOOKPOINT,HACHETTE CHILDREN`S,WREN & ROOK,15.99,17.99,2024-02-13,11,197.89,5.94
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781473697355,CHILDRENOFTRBL,23040103,BOOKPOINT,HACHETTE IRELAND,HACHETTE IRELAND,26.99,34.99,2020-01-07,1,34.99,1.05
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781529371833,ANY GIRL,23040102,BOOKPOINT,HACHETTE IRELAND,HACHETTE IRELAND,19.99,21.99,2023-07-04,2,43.98,1.32
9780316072212,HUK AGED ASSORTED,MO065219,Y,9780755315390,WINNING N ENGH,23020102,BOOKPOINT,HEADLINE,HEADLINE,14.99,14.99,2009-04-16,1,14.99,0.45
9780316072212,HUK AGED ASSORTED,MO065219,Y,9780755353767,LEGION,23020102,BOOKPOINT,HEADLINE,HEADLINE,15.99,17.99,2011-10-18,1,17.99,0.54
